USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
AK      02013   01419964        Aleutians East Borough  3141    747     18083148800     20792209033         6981.943        8027.917     55.243722      -161.950749                                                                              
AK      02016   01419965        Aleutians West Census Area      5561    1929    11370762625     25190643524         4390.276        9726.162     51.959447      +178.338813                                                                         
AK      02020   01416061        Anchorage Municipality  291826  113032  4415108963      663860984           1704.683         256.318     61.177549      -149.274354                                                                            
AK      02050   01419966        Bethel Census Area      17013   5919    105075822708    12779523593        40570.004        4934.202     60.928916      -160.153350                                                                               
AK      02060   01419967        Bristol Bay Borough     997     969     1304947207      993830067            503.843         383.720     58.731372      -156.986612                                                                                     
AK      02068   01419988        Denali Borough  1826    1771    33026000538     66068790           12751.411          25.509     63.682732      -150.026719                                                                                        
AK      02070   01419968        Dillingham Census Area  4847    2427    48092912615     6077223732         18568.778        2346.429     59.824816      -158.602233                                                                              
AK      02090   01419969        Fairbanks North Star Borough    97581   41783   19005874393     273188119           7338.209         105.479     64.690832      -146.599867                                                                       
AK      02100   01419970        Haines Borough  2508    1631    6005146534      1053874968          2318.600         406.903     59.099905      -135.578102                                                                                       
AK      02105   02371430        Hoonah-Angoon Census Area       2150    1771    19489439091     8778085294          7524.915        3389.238     58.076434      -135.185100                                                                           
AK      02110   01419971        Juneau City and Borough 31275   13055   6997968643      1429575134          2701.931         551.962     58.372700      -134.178781                                                                            
AK      02122   01419972        Kenai Peninsula Borough 55400   30578   41634915224     22473290427        16075.331        8676.986     60.366373      -152.321973                                                                          
AK      02130   01419973        Ketchikan Gateway Borough       13477   6166    12583232994     4649414062          4858.414        1795.149     55.449938      -131.106685                                                                          
AK      02150   01419974        Kodiak Island Borough   13592   5303    16963331761     14173062281         6549.579        5472.250     57.553611      -153.630911                                                                             
AK      02164   01419975        Lake and Peninsula Borough      1631    1502    61258419419     24010457489        23652.009        9270.490     58.205065      -156.705188                                                                         
AK      02170   01419976        Matanuska-Susitna Borough       88995   41329   63734160198     1682737402         24607.898         649.709     62.182174      -149.407974                                                                         
AK      02180   01419977        Nome Census Area        9492    4008    59470685832     13768011766        22961.761        5315.859     64.783686      -164.188912                                                                                   
AK      02185   01419978        North Slope Borough     9430    2500    229720054439    15801179317        88695.413        6100.870     69.449343      -153.472830                                                                               
AK      02188   01419979        Northwest Arctic Borough        7523    2707    92132564828     13406688095        35572.584        5176.351     67.005066      -160.021086                                                                           
AK      02195   02516404        Petersburg Census Area  3815    1994    8500293927      6221367848          3281.982        2402.084     56.639612      -133.527996                                                                               
AK      02198   01419980        Prince of Wales-Hyder Census Area       5559    2992    10160193695     9739418122          3922.873        3760.411     55.415683      -132.875734                                                                   
AK      02220   01419981        Sitka City and Borough  8881    4102    7434143788      5027404028          2870.339        1941.092     57.142508      -135.332624                                                                               
AK      02230   02339479        Skagway Municipality    968     636     1171515798      30331334             452.325          11.711     59.575097      -135.335418                                                                                     
AK      02240   01419983        Southeast Fairbanks Census Area 7029    3915    64150915284     752795246          24768.808         290.656     63.864997      -143.218628                                                                      
AK      02261   01419984        Valdez-Cordova Census Area      9636    6102    88680877051     15799689879        34239.880        6100.295     61.349840      -145.023141                                                                         
AK      02270   01419985        Wade Hampton Census Area        7459    2183    44240705695     6711999401         17081.433        2591.518     62.283174      -163.190950                                                                            
AK      02275   02418874        Wrangell City and Borough       2369    1428    6582411037      2384276261          2541.483         920.574     56.279121      -132.040325                                                                            
AK      02282   01419986        Yakutat City and Borough        662     450     19812002035     4696710283          7649.457        1813.410     59.999083      -140.239593                                                                              
AK      02290   01419987        Yukon-Koyukuk Census Area       5588    4038    376855656455    5956563857        145504.789        2299.842     65.376131      -151.576855                                                                          
