USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
AR      05001   00063755        Arkansas County 19019   9436    2560902522      116495598            988.770          44.979     34.289573       -91.376547                                                                                      
AR      05003   00063756        Ashley County   21853   10137   2396641905      39310651             925.349          15.178     33.190835       -91.772267                                                                                        
AR      05005   00069895        Baxter County   41513   22580   1435587546      83997217             554.283          32.432     36.280710       -92.330438                                                                                        
AR      05007   00069896        Benton County   221339  93084   2194644508      94662461             847.357          36.549     36.337825       -94.256187                                                                                       
AR      05009   00069897        Boone County    36903   16827   1528692190      30044428             590.231          11.600     36.304308       -93.079204                                                                                         
AR      05011   00063757        Bradley County  11508   5860    1681500473      9546870      649.231           3.686     33.463819       -92.168164                                                                                         
AR      05013   00063758        Calhoun County  5368    2897    1628017155      9926138      628.581           3.833     33.560460       -92.513879                                                                                          
AR      05015   00066975        Carroll County  27446   13559   1631917381      22566276             630.087           8.713     36.337774       -93.541663                                                                                       
AR      05017   00069160        Chicot County   11800   5421    1668740125      120391665            644.304          46.483     33.267139       -91.297158                                                                                        
AR      05019   00066845        Clark County    22995   10385   2243121932      43395997             866.074          16.755     34.053312       -93.176205                                                                                         
AR      05021   00063759        Clay County     16083   8031    1656206452      5105957      639.465           1.971     36.367302       -90.418704                                                                                            
AR      05023   00066983        Cleburne County 25970   15826   1434055831      99015207             553.692          38.230     35.566288       -92.059974                                                                                      
AR      05025   00063760        Cleveland County        8689    4064    1548252069      2500394      597.783           0.965     33.893201       -92.188714                                                                                        
AR      05027   00063761        Columbia County 24552   11596   1984066985      1813507      766.053           0.700     33.215070       -93.226901                                                                                       
AR      05029   00066846        Conway County   21273   9720    1430319825      37342580             552.250          14.418     35.265702       -92.689248                                                                                         
AR      05031   00066847        Craighead County        96443   40515   1831656075      14162379             707.206           5.468     35.828268       -90.630411                                                                                     
AR      05033   00069161        Crawford County 61948   26115   1536106675      28873990             593.094          11.148     35.583041       -94.236224                                                                                      
AR      05035   00069162        Crittenden County       50902   21489   1579271661      68938875             609.760          26.617     35.211878       -90.315331                                                                                    
AR      05037   00066848        Cross County    17870   7853    1596418434      15348594             616.381           5.926     35.291259       -90.773894                                                                                          
AR      05039   00066849        Dallas County   8116    4305    1728522942      1864048      667.386           0.720     33.967823       -92.653999                                                                                           
AR      05041   00066850        Desha County    13008   6261    1989504302      133058424            768.152          51.374     33.828748       -91.244427                                                                                         
AR      05043   00066851        Drew County     18509   8408    2145431293      18920696             828.356           7.305     33.587242       -91.722778                                                                                           
AR      05045   00066852        Faulkner County 113237  46612   1678012685      41927331             647.884          16.188     35.146356       -92.324654                                                                                     
AR      05047   00066853        Franklin County 18125   8021    1576932379      27933924             608.857          10.785     35.508573       -93.887672                                                                                       
AR      05049   00066854        Fulton County   12245   6778    1601114128      5527461      618.194           2.134     36.383443       -91.819239                                                                                          
AR      05051   00066855        Garland County  96024   50548   1755444878      147213948            677.781          56.840     34.578861       -93.146915                                                                                      
AR      05053   00066856        Grant County    17853   7758    1636376859      2904466      631.809           1.121     34.288063       -92.423984                                                                                           
AR      05055   00066857        Greene County   42090   17892   1496233476      4826525      577.699           1.864     36.119922       -90.565241                                                                                         
AR      05057   00066858        Hempstead County        22609   10419   1884267810      35372390             727.520          13.657     33.728611       -93.665809                                                                                     
AR      05059   00066859        Hot Spring County       32923   14332   1593367055      18052939             615.202           6.970     34.315177       -92.944147                                                                                    
AR      05061   00066872        Howard County   13789   6238    1524346632      17509479             588.554           6.760     34.083179       -93.990988                                                                                         
AR      05063   00069163        Independence County     36647   16187   1978628920      19593957             763.953           7.565     35.737499       -91.559942                                                                                  
AR      05065   00066860        Izard County    13696   7232    1503686209      8913023      580.577           3.441     36.094879       -91.913625                                                                                           
AR      05067   00066861        Jackson County  17997   7601    1641892684      19587909             633.938           7.563     35.596605       -91.223178                                                                                        
AR      05069   00066862        Jefferson County        77435   33006   2255220650      111447666            870.746          43.030     34.277695       -91.930701                                                                                    
AR      05071   00066863        Johnson County  25540   11311   1708883157      59415544             659.804          22.940     35.573359       -93.466322                                                                                       
AR      05073   00066864        Lafayette County        7645    4353    1368208312      43539379             528.268          16.811     33.240660       -93.611643                                                                                       
AR      05075   00066865        Lawrence County 17415   8000    1521913098      12244885             587.614           4.728     36.041098       -91.101153                                                                                       
AR      05077   00066866        Lee County      10424   4356    1560780566      43722296             602.621          16.881     34.779750       -90.779288                                                                                            
AR      05079   00066873        Lincoln County  14134   4860    1454321132      27631033             561.517          10.668     33.957665       -91.727624                                                                                        
AR      05081   00066874        Little River County     13171   6460    1378529805      84207522             532.253          32.513     33.699497       -94.229774                                                                                   
AR      05083   00082850        Logan County    22353   10108   1834034439      60696140             708.125          23.435     35.218549       -93.720563                                                                                         
AR      05085   00069164        Lonoke County   68356   27239   1996176993      83170220             770.728          32.112     34.755114       -91.894132                                                                                        
AR      05087   00069165        Madison County  15717   7481    2160711386      7316240      834.255           2.825     36.012545       -93.724053                                                                                         
AR      05089   00069898        Marion County   16653   9354    1546245256      112174577            597.009          43.311     36.266656       -92.678588                                                                                        
AR      05091   00069166        Miller County   43462   19281   1620239736      31263840             625.578          12.071     33.305505       -93.901509                                                                                        
AR      05093   00069899        Mississippi County      46480   20459   2332475973      49826380             900.574          19.238     35.766943       -90.052209                                                                                   
AR      05095   00069167        Monroe County   8149    4455    1572439014      36715157             607.122          14.176     34.679513       -91.203314                                                                                          
AR      05097   00069168        Montgomery County       9487    5763    2019879948      52859758             779.880          20.409     34.545652       -93.664147                                                                                      
AR      05099   00069169        Nevada County   8997    4563    1600189595      7257804      617.837           2.802     33.666699       -93.305072                                                                                           
AR      05101   00069900        Newton County   8330    4664    2126110054      5931821      820.896           2.290     35.910062       -93.215084                                                                                           
AR      05103   00069170        Ouachita County 26120   13121   1897899921      18050486             732.783           6.969     33.591158       -92.878418                                                                                      
AR      05105   00069171        Perry County    10445   4907    1428125735      23648787             551.402           9.131     34.946363       -92.926877                                                                                          
AR      05107   00069172        Phillips County 21757   10126   1801758335      82056090             695.663          31.682     34.425842       -90.848386                                                                                      
AR      05109   00069173        Pike County     11291   5580    1555592368      34995957             600.618          13.512     34.158191       -93.658659                                                                                           
AR      05111   00069174        Poinsett County 24583   10923   1964217602      13522889             758.389           5.221     35.568981       -90.680595                                                                                      
AR      05113   00069175        Polk County     20662   10002   2221377955      12387478             857.679           4.783     34.490915       -94.230884                                                                                          
AR      05115   00069901        Pope County     61754   25551   2104490517      47206953             812.548          18.227     35.455297       -93.031535                                                                                          
AR      05117   00069176        Prairie County  8715    4503    1678203880      71628651             647.958          27.656     34.828225       -91.557199                                                                                         
AR      05119   00069177        Pulaski County  382748  175555  1967777404      124061704            759.763          47.900     34.773988       -92.316515                                                                                    
AR      05121   00069178        Randolph County 17969   8513    1689166005      9968447      652.191           3.849     36.341298       -91.028441                                                                                        
AR      05123   00083331        St. Francis County      28258   10903   1644048592      20050191             634.771           7.741     35.014438       -90.742199                                                                                   
AR      05125   00067102        Saline County   107118  44811   1874124567      17835823             723.604           6.886     34.648525       -92.674463                                                                                       
AR      05127   00069179        Scott County    11233   5193    2311098364      14901123             892.320           5.753     34.858869       -94.063641                                                                                          
AR      05129   00069180        Searcy County   8195    4900    1725176918      6256956      666.095           2.416     35.909660       -92.699351                                                                                           
AR      05131   00069181        Sebastian County        125744  54651   1377643728      36905742             531.911          14.249     35.196981       -94.274989                                                                                    
AR      05133   00069182        Sevier County   17058   6887    1463670417      41830997             565.126          16.151     33.994608       -94.243290                                                                                         
AR      05135   00069183        Sharp County    17264   9822    1565489388      5172578      604.439           1.997     36.173399       -91.471069                                                                                           
AR      05137   00069902        Stone County    12394   6712    1570581314      7838986      606.405           3.027     35.856989       -92.140494                                                                                           
AR      05139   00069903        Union County    41639   19653   2691552718      41401571            1039.214          15.985     33.168219       -92.598145                                                                                         
AR      05141   00069904        Van Buren County        17295   10345   1834082139      41805938             708.143          16.141     35.582959       -92.515977                                                                                     
AR      05143   00069905        Washington County       203065  87808   2439681852      27046999             941.966          10.443     35.971209       -94.218417                                                                                   
AR      05145   00069906        White County    77076   32488   2680832626      18311035            1035.075           7.070     35.254722       -91.753158                                                                                         
AR      05147   00069907        Woodruff County 7260    3893    1519780744      18707994             586.791           7.223     35.189071       -91.244418                                                                                        
AR      05149   00069908        Yell County     22185   9752    2408647209      48880316             929.984          18.873     34.997713       -93.408303                                                                                           
